species,population,specimen_num,cell_type,observation,primary_wall_thickness,secondary_wall_thickness,length,lumen_diameter,cell_total_diameter,lignified?,num_of_cell_width,seriate_num
mexicana,isu,1,bark_fiber,1,80,980,1000,30,1090,no,,
mexicana,isu,1,bark_fiber,2,90,880,980,40,1010,no,,
mexicana,isu,1,bark_fiber,3,70,790,960,10,870,no,,
mexicana,isu,1,bark_fiber,4,90,920,1040,20,1030,no,,
mexicana,isu,1,sieve_tube_mem,1,120,80,320,100,300,no,,
mexicana,isu,1,sieve_tube_mem,2,140,60,330,120,320,no,,
mexicana,isu,1,sieve_tube_mem,3,160,50,320,140,350,no,,
mexicana,isu,1,sieve_tube_mem,4,180,40,360,130,350,no,,
mexicana,isu,1,phloem_parenchyma,1,240,,350,130,370,no,,
mexicana,isu,1,phloem_parenchyma,2,250,,380,150,400,no,,
mexicana,isu,1,phloem_parenchyma,3,260,,440,160,420,no,,
mexicana,isu,1,phloem_parenchyma,4,260,,460,180,440,no,,
mexicana,isu,1,companion_cell,1,330,,100,330,660,no,,
mexicana,isu,1,companion_cell,2,320,,130,290,610,no,,
mexicana,isu,1,companion_cell,3,310,,90,280,590,no,,
mexicana,isu,1,companion_cell,4,320,,140,280,600,no,,
mexicana,isu,1,ray,1,220,,,,220,no,4,3
mexicana,isu,1,ray,2,220,,,,220,no,5,4
mexicana,isu,1,ray,3,210,,,,210,no,3,5
mexicana,isu,1,ray,4,230,,,,230,no,4,4
mexicana,isu,2,bark_fiber,1,80,980,1000,30,1090,no,,
mexicana,isu,2,bark_fiber,2,90,880,980,40,1010,no,,
mexicana,isu,2,bark_fiber,3,70,790,960,10,870,no,,
mexicana,isu,2,bark_fiber,4,90,920,1040,20,1030,no,,
mexicana,isu,2,sieve_tube_mem,1,120,80,320,100,300,no,,
mexicana,isu,2,sieve_tube_mem,2,140,60,330,120,320,no,,
mexicana,isu,2,sieve_tube_mem,3,160,50,320,140,350,no,,
mexicana,isu,2,sieve_tube_mem,4,180,40,360,130,350,no,,
mexicana,isu,2,phloem_parenchyma,1,240,,350,130,370,no,,
mexicana,isu,2,phloem_parenchyma,2,250,,380,150,400,no,,
mexicana,isu,2,phloem_parenchyma,3,260,,440,160,420,no,,
mexicana,isu,2,phloem_parenchyma,4,260,,460,180,440,no,,
mexicana,isu,2,companion_cell,1,330,,100,330,660,no,,
mexicana,isu,2,companion_cell,2,320,,130,290,610,no,,
mexicana,isu,2,companion_cell,3,310,,90,280,590,no,,
mexicana,isu,2,companion_cell,4,320,,140,280,600,no,,
mexicana,isu,2,ray,1,220,,,,220,no,4,3
mexicana,isu,2,ray,2,220,,,,220,no,5,4
mexicana,isu,2,ray,3,210,,,,210,no,3,5
mexicana,isu,2,ray,4,230,,,,230,no,4,4
mexicana,isu,3,bark_fiber,1,80,980,1000,30,1090,no,,
mexicana,isu,3,bark_fiber,2,90,880,980,40,1010,no,,
mexicana,isu,3,bark_fiber,3,70,790,960,10,870,no,,
mexicana,isu,3,bark_fiber,4,90,920,1040,20,1030,no,,
mexicana,isu,3,sieve_tube_mem,1,120,80,320,100,300,no,,
mexicana,isu,3,sieve_tube_mem,2,140,60,330,120,320,no,,
mexicana,isu,3,sieve_tube_mem,3,160,50,320,140,350,no,,
mexicana,isu,3,sieve_tube_mem,4,180,40,360,130,350,no,,
mexicana,isu,3,phloem_parenchyma,1,240,,350,130,370,no,,
mexicana,isu,3,phloem_parenchyma,2,250,,380,150,400,no,,
mexicana,isu,3,phloem_parenchyma,3,260,,440,160,420,no,,
mexicana,isu,3,phloem_parenchyma,4,260,,460,180,440,no,,
mexicana,isu,3,companion_cell,1,330,,100,330,660,no,,
mexicana,isu,3,companion_cell,2,320,,130,290,610,no,,
mexicana,isu,3,companion_cell,3,310,,90,280,590,no,,
mexicana,isu,3,companion_cell,4,320,,140,280,600,no,,
mexicana,isu,3,ray,1,220,,,,220,no,4,3
mexicana,isu,3,ray,2,220,,,,220,no,5,4
mexicana,isu,3,ray,3,210,,,,210,no,3,5
mexicana,isu,3,ray,4,230,,,,230,no,4,4
mexicana,ri,1,bark_fiber,1,80,980,1000,30,1090,no,,
mexicana,ri,1,bark_fiber,2,90,880,980,40,1010,no,,
mexicana,ri,1,bark_fiber,3,70,790,960,10,870,no,,
mexicana,ri,1,bark_fiber,4,90,920,1040,20,1030,no,,
mexicana,ri,1,sieve_tube_mem,1,120,80,320,100,300,no,,
mexicana,ri,1,sieve_tube_mem,2,140,60,330,120,320,no,,
mexicana,ri,1,sieve_tube_mem,3,160,50,320,140,350,no,,
mexicana,ri,1,sieve_tube_mem,4,180,40,360,130,350,no,,
mexicana,ri,1,phloem_parenchyma,1,240,,350,130,370,no,,
mexicana,ri,1,phloem_parenchyma,2,250,,380,150,400,no,,
mexicana,ri,1,phloem_parenchyma,3,260,,440,160,420,no,,
mexicana,ri,1,phloem_parenchyma,4,260,,460,180,440,no,,
mexicana,ri,1,companion_cell,1,330,,100,330,660,no,,
mexicana,ri,1,companion_cell,2,320,,130,290,610,no,,
mexicana,ri,1,companion_cell,3,310,,90,280,590,no,,
mexicana,ri,1,companion_cell,4,320,,140,280,600,no,,
mexicana,ri,1,ray,1,220,,,,220,no,4,3
mexicana,ri,1,ray,2,220,,,,220,no,5,4
mexicana,ri,1,ray,3,210,,,,210,no,3,5
mexicana,ri,1,ray,4,230,,,,230,no,4,4
mexicana,ri,2,bark_fiber,1,80,980,1000,30,1090,no,,
mexicana,ri,2,bark_fiber,2,90,880,980,40,1010,no,,
mexicana,ri,2,bark_fiber,3,70,790,960,10,870,no,,
mexicana,ri,2,bark_fiber,4,90,920,1040,20,1030,no,,
mexicana,ri,2,sieve_tube_mem,1,120,80,320,100,300,no,,
mexicana,ri,2,sieve_tube_mem,2,140,60,330,120,320,no,,
mexicana,ri,2,sieve_tube_mem,3,160,50,320,140,350,no,,
mexicana,ri,2,sieve_tube_mem,4,180,40,360,130,350,no,,
mexicana,ri,2,phloem_parenchyma,1,240,,350,130,370,no,,
mexicana,ri,2,phloem_parenchyma,2,250,,380,150,400,no,,
mexicana,ri,2,phloem_parenchyma,3,260,,440,160,420,no,,
mexicana,ri,2,phloem_parenchyma,4,260,,460,180,440,no,,
mexicana,ri,2,companion_cell,1,330,,100,330,660,no,,
mexicana,ri,2,companion_cell,2,320,,130,290,610,no,,
mexicana,ri,2,companion_cell,3,310,,90,280,590,no,,
mexicana,ri,2,companion_cell,4,320,,140,280,600,no,,
mexicana,ri,2,ray,1,220,,,,220,no,4,3
mexicana,ri,2,ray,2,220,,,,220,no,5,4
mexicana,ri,2,ray,3,210,,,,210,no,3,5
mexicana,ri,2,ray,4,230,,,,230,no,4,4
mexicana,ri,3,bark_fiber,1,80,980,1000,30,1090,no,,
mexicana,ri,3,bark_fiber,2,90,880,980,40,1010,no,,
mexicana,ri,3,bark_fiber,3,70,790,960,10,870,no,,
mexicana,ri,3,bark_fiber,4,90,920,1040,20,1030,no,,
mexicana,ri,3,sieve_tube_mem,1,120,80,320,100,300,no,,
mexicana,ri,3,sieve_tube_mem,2,140,60,330,120,320,no,,
mexicana,ri,3,sieve_tube_mem,3,160,50,320,140,350,no,,
mexicana,ri,3,sieve_tube_mem,4,180,40,360,130,350,no,,
mexicana,ri,3,phloem_parenchyma,1,240,,350,130,370,no,,
mexicana,ri,3,phloem_parenchyma,2,250,,380,150,400,no,,
mexicana,ri,3,phloem_parenchyma,3,260,,440,160,420,no,,
mexicana,ri,3,phloem_parenchyma,4,260,,460,180,440,no,,
mexicana,ri,3,companion_cell,1,330,,100,330,660,no,,
mexicana,ri,3,companion_cell,2,320,,130,290,610,no,,
mexicana,ri,3,companion_cell,3,310,,90,280,590,no,,
mexicana,ri,3,companion_cell,4,320,,140,280,600,no,,
mexicana,ri,3,ray,1,220,,,,220,no,4,3
mexicana,ri,3,ray,2,220,,,,220,no,5,4
mexicana,ri,3,ray,3,210,,,,210,no,3,5
mexicana,ri,3,ray,4,230,,,,230,no,4,4
occidentalis,jasper,1,bark_fiber,1,80,980,1000,30,1090,no,,
occidentalis,jasper,1,bark_fiber,2,90,880,980,40,1010,no,,
occidentalis,jasper,1,bark_fiber,3,70,790,960,10,870,no,,
occidentalis,jasper,1,bark_fiber,4,90,920,1040,20,1030,no,,
occidentalis,jasper,1,sieve_tube_mem,1,120,80,320,100,300,no,,
occidentalis,jasper,1,sieve_tube_mem,2,140,60,330,120,320,no,,
occidentalis,jasper,1,sieve_tube_mem,3,160,50,320,140,350,no,,
occidentalis,jasper,1,sieve_tube_mem,4,180,40,360,130,350,no,,
occidentalis,jasper,1,phloem_parenchyma,1,240,,350,130,370,no,,
occidentalis,jasper,1,phloem_parenchyma,2,250,,380,150,400,no,,
occidentalis,jasper,1,phloem_parenchyma,3,260,,440,160,420,no,,
occidentalis,jasper,1,phloem_parenchyma,4,260,,460,180,440,no,,
occidentalis,jasper,1,companion_cell,1,330,,100,330,660,no,,
occidentalis,jasper,1,companion_cell,2,320,,130,290,610,no,,
occidentalis,jasper,1,companion_cell,3,310,,90,280,590,no,,
occidentalis,jasper,1,companion_cell,4,320,,140,280,600,no,,
occidentalis,jasper,1,ray,1,220,,,,220,no,4,3
occidentalis,jasper,1,ray,2,220,,,,220,no,5,4
occidentalis,jasper,1,ray,3,210,,,,210,no,3,5
occidentalis,jasper,1,ray,4,230,,,,230,no,4,4
occidentalis,jasper,2,bark_fiber,1,80,980,1000,30,1090,no,,
occidentalis,jasper,2,bark_fiber,2,90,880,980,40,1010,no,,
occidentalis,jasper,2,bark_fiber,3,70,790,960,10,870,no,,
